SG,Top_Class,Formula,Source,ID,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,Z2,wcc
2,2.0,Ta6S,ICSD,202564,1.0,14.0,168.0,3.0,0.0,0.02,0.355,(1;100),0.0
2,2.0,K(OsO3)2,ICSD,419880,1.0,18.0,154.0,3.0,0.0,0.089,0.241,(1;110),0.0
2,2.0,CuH2SeO5,ICSD,39887,1.0,18.0,98.0,3.0,0.0,0.008,0.094,(1;100),0.0
2,2.0,ZnCoPHO5,ICSD,416823,1.0,18.0,130.0,3.0,0.0,0.018,0.624,(0;001),0.0
2,2.0,Ga5Rh3,ICSD,240179,1.0,16.0,232.0,3.0,0.0,0.145,0.175,(0;100),0.0
2,2.0,CuMoO4,ICSD,39439,1.0,12.0,98.0,3.0,0.0,0.027,0.324,(0;110),0.0
2,2.0,CuPtF6,ICSD,64660,1.0,16.0,126.0,3.0,0.0,0.006,0.051,(1;010),0.0
2,2.0,NaCuF3,ICSD,69655,1.0,20.0,164.0,3.0,0.0,0.014,0.583,(1;101),0.0
2,2.0,NbCuO3F,ICSD,200533,1.0,12.0,98.0,3.0,0.0,0.009,0.456,(1;011),0.0
2,2.0,CsHg,ICSD,62000,1.0,8.0,84.0,2.0,0.0,0.065,0.438,(0;001),0.0
2,2.0,Na4CrO4,ICSD,62676,1.0,18.0,148.0,1.0,0.0,0.004,0.733,(1;010),0.0
2,2.0,Rb5(CoO2)2,ICSD,73191,1.0,22.0,206.0,3.0,0.0,0.0,0.271,(0;110),0.0
2,2.0,LiCoSO4F,ICSD,167202,1.0,16.0,114.0,3.0,0.0,0.013,0.268,(0;100),0.0
2,2.0,TeWCl9,ICSD,410945,1.0,22.0,194.0,1.0,0.0,0.026,0.011,(0;011),0.0
2,2.0,MoSeCl7O,ICSD,410101,1.0,20.0,150.0,3.0,0.0,0.006,0.133,(1;100),0.0
2,2.0,MoCl5,ICSD,84620,1.0,12.0,98.0,1.0,0.0,0.021,0.413,(1;110),0.0
2,2.0,CaP3,ICSD,74479,1.0,8.0,50.0,1.0,0.0,0.016,0.024,(1;010),0.0
2,2.0,TiBr3,ICSD,39784,1.0,8.0,66.0,2.0,0.0,0.007,0.829,(0;011),0.0
2,2.0,BaFe2(PO4)2,ICSD,237763,1.0,13.0,84.0,2.0,0.0,0.011,0.134,(0;001),0.0
2,2.0,CaAs3,ICSD,193,1.0,8.0,50.0,1.0,0.0,0.06,0.008,(1;100),0.0
2,2.0,AgSO4,ICSD,421341,1.0,12.0,82.0,3.0,0.0,0.042,0.104,(1;111),0.0
2,2.0,CuAgF3,ICSD,174407,1.0,20.0,172.0,3.0,0.0,0.009,0.589,(1;011),0.0
4,3.0,Cu(IO3)2,ICSD,4327,0.0,18.0,122.0,3.0,0.0,0.001,0.526,,0.0
7,3.0,Na2CoGeO4,ICSD,200680,0.0,16.0,126.0,3.0,0.0,0.0,0.734,,0.0
9,3.0,FeBiO3,ICSD,192517,0.0,10.0,62.0,3.0,0.0,0.003,0.442,,0.0
9,3.0,FeBiO3,ICSD,192515,0.0,10.0,62.0,3.0,0.0,0.003,0.696,,0.0
11,2.0,Sr(ZnSn)2,ICSD,424108,1.0,10.0,124.0,3.0,0.0,0.019,0.372,(1;000),0.0
11,2.0,Ta2Se3,ICSD,42982,1.0,10.0,88.0,3.0,0.0,0.066,0.151,(1;010),0.0
11,2.0,TaSe3,ICSD,43213,1.0,16.0,124.0,3.0,0.0,0.042,0.158,(0;011),0.0
11,2.0,SrSb2,ICSD,52307,1.0,6.0,40.0,1.0,0.0,0.14,0.143,(0;010),1.0
11,2.0,Si5Rh4,ICSD,52066,1.0,18.0,176.0,3.0,0.0,0.009,0.857,(1;011),0.0
11,2.0,Si5Pt6,ICSD,43283,1.0,22.0,160.0,3.0,0.0,0.023,0.841,(0;000),0.0
