Formula,Source,ID,space group,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,ν,wcc
ZnH4(CO)4,COD,7012468,C2 (5),0,13,56,3,5.1539,5.377,0,(0;000),0
VAg(PSe3)2,ICSD,68143,C2 (5),0,10,70,2,0,0.007,0.288,(1;100),1
VAgHgO4,COD,4308659,C2 (5),0,14,120,3,0.9655,1.513,0,(0;000),0
V2ZnO6,ICSD,26998,C2 (5),0,9,74,3,2.1247,2.204,0,(0;000),0
V2Pb3O8,ICSD,29359,C2 (5),0,13,116,3,2.3727,2.545,0,(0;000),0
V2Pb3O8,ICSD,67604,C2 (5),0,13,116,3,2.7495,2.762,0,(0;000),0
V2Pb3O8,ICSD,69800,C2 (5),0,13,116,3,2.5077,2.573,0,(0;000),0
V2Pb3O8,ICSD,67605,C2 (5),0,13,116,3,2.725,2.737,0,(0;000),0
TlV5S8,COD,1524378,C2 (5),0,14,126,3,0,0.001,0.55,NaN,0
Tl2C3O4,ICSD,260372,C2 (5),0,18,124,3,0.6959,0.021,1,(0;000),0
TaAs2,ICSD,107966,C2 (5),0,6,46,3,0,0.011,0.322,(1;110),1
Ta2Tl3Cu3S8,ICSD,406210,C2 (5),0,16,146,1,0.3824,0.101,1,NaN,0
Ta2O5,ICSD,280397,C2 (5),0,7,56,3,0.4534,1.346,0,(0;000),1
SnH2N2O3F2,ICSD,92998,C2 (5),0,20,116,1,0,0.001,0.468,NaN,0
SiO2,COD,9006295,C2 (5),0,12,64,3,5.6133,5.613,0,(0;000),0
SiO2,COD,9006296,C2 (5),0,12,64,3,5.3101,5.31,0,(0;000),0
SiO2,ICSD,75657,C2 (5),0,12,64,3,5.553,5.591,0,(0;000),0
Si2Cu4NiS7,ICSD,100778,C2 (5),0,14,104,3,0,0.026,0.409,NaN,0
ScBiO3,COD,4123993,C2 (5),0,20,176,3,2.1205,2.349,0,(0;000),0
RbVP2S7,ICSD,73782,C2 (5),0,11,74,2,0,0.011,0.754,NaN,0
RbCuCl3,COD,1527259,C2 (5),0,20,164,1,0,0.024,0.396,NaN,0
RbCrI3,COD,1528243,C2 (5),0,20,176,2,0,0.001,0.604,NaN,0
RbAu(IO3)4,ICSD,250788,C2 (5),0,18,120,3,2.3359,2.41,0,(0;000),0
Rb4CO4,ICSD,245434,C2 (5),0,9,64,1,1.1845,1.31,0,(0;000),0
Rb4CO4,ICSD,245444,C2 (5),0,9,64,3,0.2272,0.227,0,(0;000),1
Pd5Pb3,ICSD,648361,C2 (5),0,16,264,3,0,0.007,0.603,NaN,0
PbS,ICSD,68712,C2 (5),0,4,40,2,1.0591,1.094,0,(0;000),0
OsO4,ICSD,24672,C2 (5),0,5,40,1,4.2187,4.251,0,(0;000),0
Ni5Sb2,ICSD,76694,C2 (5),0,14,120,3,0,0.009,1,NaN,0
Ni5Ge3,ICSD,77958,C2 (5),0,16,124,3,0,0.009,0.546,NaN,0
NbTlBr4O,ICSD,415203,C2 (5),0,7,60,1,1.1356,1.469,0,(0;000),0
NbI3O,ICSD,418088,C2 (5),0,10,80,2,0.8135,0.85,0,(0;000),0
